equipo,Centro planif.,Ubicac.técnica,Denominación,Denominación.1,Activo fijo,Orden,Perfil catálogo,id_aviso,tipo_mantenimiento,descripcion,Fecha de aviso,Grupo códigos,TextoGrpPartObj,Cód.parte obj.,TextoCódPartObj,Grupo códigos.1,Código averia,TextoCódProblem,Causas avería,Causa,Txt. cód. mot.,causa_falla,fecha_inicio,hora_inicio,fecha_fin,hora_fin,Parada,duracion,Status sistema,Indicador ABC,fecha_inicio_dt,fecha_fin_dt,duracion_horas
20001479,VSA,OC-EST-VSA-PMED-BS37010,BRAZO MEDICIÓN SALIDA BS37010,VALVULA MOV_8X600- PRB 220-BS37010,45004434.0,,S_VA,236515,m2,pase en valvula mov 370112,6/10/2025,PO-S-060,Sub. Válvulas,S066,Empaque,SA-S-VA,INP1,Pase interno,,0,,nan,6/10/2025,9:40:52,,0:00:00,X,0,MEAB,2,2025-10-06 09:40:52,,0.0
20001658,VSA,OC-EST-VSA-PMED-BE3660,BRAZO MEDICIÓN DE ENTRADA BE3660,INDICADOR PRESION PI-3661 BRAZO 3660,,10048595.0,Z_XXXX,236512,m2,falla en el trasmisor de presion,4/10/2025,IPPI,Indicador de Presión,237,Indicador,SA-S-AM,FTF4,Falla de Control,,0,,nan,4/10/2025,12:41:31,,0:00:00,,0,METR ORAS,1,2025-10-04 12:41:31,,0.0
20001769,VSA,OC-EST-VSA-PMED-PR3010,PROBADOR DE MEDICIÓN PR3010,INDICADOR DIF. PRESION PDI-3010 PROOVER,,10048598.0,S_IN,236513,m2,falla proover ms3600 alarma dif de presi,4/10/2025,PO-S-010,Sub. Control y monitoreo,S014,Indicador o Sensor,SA-S-IN,FTF2,No resp bajo demanda o señal en Operac,,0,,nan,4/10/2025,17:07:06,,0:00:00,X,0,METR ORAS,1,2025-10-04 17:07:06,,0.0
20007928,VSA,OC-EST-VSA-PMED-BE3630,BRAZO MEDICIÓN DE ENTRADA BE3630,ACTUADOR MOV-3631 DE BRAZO MEDICION 3630,,10048596.0,Z_XXXX,236514,m2,falla actuador mov 3631,4/10/2025,ICEL,Control electronico,158,Display,SA-E-EP,AIR1,"Falsa alarma, indic. defectuosa de inst.",,0,,nan,4/10/2025,17:40:30,,0:00:00,X,0,METR ORAS,1,2025-10-04 17:40:30,,0.0
20024801,CUS,OC-EST-DES-PREC-BH20040,BAHIA DE RECIBO BH20040,CAJA REDUCTORA BOMBA CENTRIFUGA BAHIA 40,,10048592.0,R_PU,236505,m2,rotura elastomero bomba bahia 4,3/10/2025,PO-R-020,Sub. Lubricación,R027,Sensores,SA-R-PU,SER1,Piezas Mecánicas Sueltas,,0,,nan,3/10/2025,3:35:58,,0:00:00,X,0,METR ORAS,1,2025-10-03 03:35:58,,0.0
20003434,EPO,OC-EST-EPO-ALOC-ED,EDIFICACIONES,EDIFICACION LABORATORIO,46000803.0,10048600.0,Z_XXXX,236504,m2,extractor de laboratorio en falla,2/10/2025,BLBL,Compresor Sopladores/Ventiladores,259,Lineas de aire,SA-R-BL,NOI1,Ruido fuera de lo Normal,,0,,nan,2/10/2025,17:38:07,,0:00:00,X,0,METR ORAS,1,2025-10-02 17:38:07,,0.0
20008863,EPO,OC-EST-EPO-PMED-CA38000,MEDICIÓN CALIDAD CA38000,"MEZCLADOR ESTÁTICO 24"" SALIDA SMD APO",,10048602.0,I_MI,236502,m2,bomba de homogenizacion de altos,2/10/2025,PO-I-040,Sub. Control y Monitoreo,I040,Cableado y Caja de Conexiones,SA-I-MI,AIR1,"Falsa alarma, indicador defectuoso.",,0,,nan,2/10/2025,17:12:44,,0:00:00,X,0,METR ORAS,1,2025-10-02 17:12:44,,0.0
20008874,EPO,OC-EST-EPO-PMED-CA38000,MEDICIÓN CALIDAD CA38000,TOMAMUESTRAS CALIDAD 38,,10048603.0,S_IN,236503,m2,sello de bomba toma muestras altos,2/10/2025,PO-S-120,Sub. Misceláneos,S128,Tubería / Válvulas,SA-S-IN,SER1,Piezas Mecánicas Sueltas,,0,,nan,2/10/2025,17:30:46,,0:00:00,X,0,METR ORAS,2,2025-10-02 17:30:46,,0.0
20011146,CUS,OC-EST-DES-ALOC-ED,EDIFICACIONES,EDIFICACION CASETA BAHIAS,42005557.0,10048591.0,Z_XXXX,236494,m2,falla escalera basculante bahia 7 desc,30/09/2025,PO-I-010,Sub. Estructura e Internos,I015,Pedestal / Soporte,SA-I-CR,STD1,"Daño material, grietas, desgaste, corr.",,0,,nan,30/09/2025,22:46:39,,0:00:00,X,0,METR ORAS,1,2025-09-30 22:46:39,,0.0
20022274,VSA,OC-EST-VSA-PMED-BE3610,BRAZO MEDICIÓN DE ENTRADA BE3610,MEDIDOR FLUJO BRAZO MED BE3610,45004396.0,10048585.0,S_IN,236493,m2,falla medidor de flujo brazo 1 fqe-36010,30/09/2025,PO-S-010,Sub. Control y monitoreo,S014,Indicador o Sensor,SA-S-IN,AIR2,Falsa alarma e indicación,,0,,nan,30/09/2025,7:12:08,,0:00:00,X,0,METR ORAS,3,2025-09-30 07:12:08,,0.0
20008294,CQO,OC-EST-CQO-SREN-RECORODI,RECOLECCION - RECOLECTOR DE RODILLOS,RECOLECTOR RODILLOS ELASTEC 100,42005029.0,,S_EQ,236489,m2,alta presion sist combust elastec100,29/09/2025,PO-R-050,Sub. Combustión,R054,Bomba / Filtro,SA-R-PU,ELP3,Fuga ext. Combustible - Fluido Proceso,,0,,nan,29/09/2025,21:56:32,,0:00:00,X,0,MEAB,4,2025-09-29 21:56:32,,0.0
20024351,CVA,OC-TER-CVA-ADRE-DA,DRENAJE ABIERTO,MEDIDOR FLUJO VERTIMIENTO DRENAJE ABIERT,,10048577.0,Z_XXXX,236486,m2,falla medidor de caudal en vertimiento,29/09/2025,IPFS,Detector de Flujo (flujostato),446,Tarjeta electronica,SA-S-IN,ERO3,Señal errática,,0,,nan,29/09/2025,13:41:08,,0:00:00,X,0,METR ORAS,1,2025-09-29 13:41:08,,0.0
20015799,PAE,OC-EST-PAE-AAIR-CO54010,PAQUETE DE AIRE COMPRIMIDO CO54010,COMPRESOR TORNI AIRE 125PSIG  UGEN CO10,42004597.0,10048578.0,R_CO,236483,m2,revision compresor de aire_co10,29/09/2025,PO-R-030,Sub. Control y Monitoreo,R034,Unidad de Control,SA-R-CO,AIR1,"Falsa alarma, indicador defectuoso.",,0,,nan,29/09/2025,8:24:12,,0:00:00,X,0,METR ORAS,1,2025-09-29 08:24:12,,0.0
20014377,CQO,OC-EST-CQO-AGEN-GE22010,GENERADOR PRINCIPAL 10,MOTOR COMB GE-010,42003447.0,,R_CE,236482,m2,fuga agua sist lt por cooler 1era etapa,28/09/2025,PO-R-090,Sub. Refrigeración,R092,Intercambiador de Calor / Radiador,SA-R-CE,OHE1,Alta temperatura,,0,,nan,28/09/2025,21:24:55,,0:00:00,X,0,MEAB,3,2025-09-28 21:24:55,,0.0
20022162,LBE,OC-EST-LBE-AAGU-RS,AGUA RESIDUAL,STARD LBE,42004337.0,70021349.0,A_TD,236478,m2,caja electrica en mal estado ptar,26/09/2025,PO-A-020,Sub. Eléctrico e Instrumentación,A022,Acometida eléctrica,SA-A-TD,DEP5,Bajo Nivel,,0,,nan,26/09/2025,17:49:46,,0:00:00,X,0,METR ORAS,1,2025-09-26 17:49:46,,0.0
20004440,MRF,OC-EST-MRF-ACOM-CRUDO,COMBUSTIBLE CRUDO,VALVULA 5203 ALFA LAVAL 5210,,70016385.0,S_VA,236475,m2,alfa laval b apertura valvula no funcion,26/09/2025,PO-S-060,Sub. Válvulas,S063,Cuerpo de la Válvula,SA-S-VA,ELP1,Fuga externa de aire - Fluido de Proceso,,0,,nan,26/09/2025,1:03:51,,0:00:00,X,0,METR ORAS,2,2025-09-26 01:03:51,,0.0
20001243,VSA,OC-EST-VSA-SALV-TQ55000,TANQUE RELEVO ALIVIO TQ5500,TRANSMISOR NIVEL RADAR TK-55000,,10048582.0,S_IN,236479,m2,falla señal radar tq55000 en hmi,26/09/2025,PO-S-010,Sub. Control y monitoreo,S014,Indicador o Sensor,SA-S-IN,NOO1,No hay señal,,0,,nan,26/09/2025,18:28:43,,0:00:00,,0,METR ORAS,4,2025-09-26 18:28:43,,0.0
20022614,CUS,OC-EST-DES-PMED-CPME,CONEXIÓN DE MEDICION,TUBERIA CABEZAL TKS OC,42005471.0,10047730.0,I_PI,235527,m2,falla valvula controladora pcv-300001,25/01/2025,PO-I-040,Sub. Control y Monitoreo,I045,Tubería / Válvulas,SA-I-PI,ELP1,Fuga externa de aire - Fluido de Proceso,,0,,nan,25/09/2025,7:00:00,25/09/2025,17:00:00,X,10,METR ORAS,2,2025-09-25 07:00:00,2025-09-25 17:00:00,10.0
20005132,CVA,OC-TER-CVA-SCIN-ES,ESPUMA CONTRAINCENDIOS,TANQUE SIST ESPUMA,42005148.0,,I_TA,236463,m2,tanque de espuma sci ocensa,25/09/2025,PO-S-100,Sub. de Espuma,S102,Tanque de Almacenamiento Espuma,SA-I-TA,DEP5,Bajo Nivel,,0,,nan,25/09/2025,6:03:12,,0:00:00,X,0,MEAB,4,2025-09-25 06:03:12,,0.0
