label,count
Información insuficiente,68
Falla de componentes,64
Falla en el sistema,63
Falta de información,57
Causa no especificada,55
Indefinida,38
Fallas en componentes,36
falta de información,34
Desajuste mecánico,21
Falla en el sistema de presión,19
Falla de Material,19
Falla en el sistema de señalización,18
Falla estructural,17
Interferencia en la señal,16
Falla en el sistema de monitoreo,16
Falla en el compresor,16
Fuga de proceso,15
Falta de datos,15
Falla en señal,15
Falta de información específica,15
Falla en la bomba,14
Falla en el sistema de indicación,14
Falla en el transmisor,14
Falla en el sistema de alimentación,12
Falla en el material,12
Información insuficiente sobre el sistema,11
Falla en el sistema de bombeo,11
Fuga de Proceso,11
Falla en el indicador,11
Fuga en el sistema,10
Desbalance,10
Falla en el sistema de encendido,10
Falla en el sistema de activación,10
Falla en el motor,10
Fuga por válvula,9
Falta de información sobre el sistema,9
Fallo estructural,9
Falla en la electrónica del sistema,9
Falla en el sistema de alarma,9
Atascamiento,9
Falla en la señalización del sistema,9
Falta de datos específicos,9
Piezas mecánicas sueltas,8
Desbalance en componentes,8
Fallo en el sistema de monitoreo,8
Falla en el medidor de flujo,8
Fuga por mal estado de válvula,8
Fractura,8
Problemas en la transmisión de señal,7
Fuga en la válvula,7
Fallo en la válvula,7
Falla en la batería,7
Fuga en válvula,7
Parámetro fuera de rango,7
Indicación defectuosa de instrumento,7
Desbalance mecánico,7
Fallo en el sistema,7
Falla en el motor de arranque,6
Desajuste o daño en componentes mecánicos,6
Falla en los componentes,6
Atascamiento en el sistema,6
Indicación defectuosa,6
Falla en el suministro eléctrico,6
Falla en el detector de gas,6
Falla en el generador,6
Agotamiento,6
Información insuficiente sobre la fuga,6
Desajuste en componentes mecánicos,6
Falla en la fuente de alimentación,6
Desbalance en el sistema,6
Falla en la señal de activación,6
Falla en el sistema de apertura,6
Falla en el medidor,6
Fallo de señal,6
Falla en el sistema de filtración,6
Falla en el sistema de muestreo,5
Fallo en el compresor,5
Falla en el probador,5
Falla en el sistema de generación,5
Fuga de fluido,5
Daño en componentes,5
Falla en el sistema de combustible,5
Fallo en el filtro,5
Falla en válvula,5
Falla en motor,5
Piezas Mecánicas Sueltas,5
Falla en el mecanismo de operación,5
Falla en el sistema de fijación,5
Falla en el sistema de válvula,5
Falta de respuesta en el sistema,5
Fallo en el motor,5
Falla en el transmisor de presión,5
Información insuficiente sobre el sensor,4
Fuga en el sistema de alivio,4
Daño estructural,4
Interferencia,4
Fallo en el sistema de encendido,4
Fuga de crudo,4
Falla en el sistema de señal,4
Falla en el densitómetro,4
Acumulación de residuos,4
Falla en la tarjeta,4
Falla en el componente,4
Fuga en el sistema de compresión,4
Falla en el sistema de alivio,4
Error de medición,4
Fallo en la bomba,4
Fuga en la bomba,4
Falla en el switch de flujo,4
Falla en el transmisor de nivel,4
Falla en el instrumento,4
Fallo en el mecanismo de movimiento,4
Información insuficiente para diagnóstico,4
Problemas eléctricos o mecánicos en el motor,4
Fallo en el sistema de alimentación,4
Información insuficiente sobre el mecanismo,4
Causa no identificada,4
Falla en el detector,4
Falla en el sistema de compresión,4
Daño en el sistema,4
Datos insuficientes para diagnóstico,4
Daño en la manguera,4
Falla mecánica o eléctrica no especificada,4
Fallo en el mecanismo,4
Problema inherente al sistema,4
Fallas en componentes eléctricos,4
Falla en la bomba sumergible,4
Desbalance o daño en componentes,4
Fisura,4
Falla en el instrumento de medición,4
Falla en la electrónica,4
Información insuficiente sobre el estado,4
Humedecimiento,4
Falla en el aislamiento del motor,3
Falla en la tapa del tanque,3
Daño en la válvula,3
Falla en el agitador,3
Falta de información sobre el síntoma,3
Falla en el filtro de succión,3
Operación fuera de parámetros,3
Fallo en el sistema de señalización,3
Desajuste en el ensamblaje,3
Falla en el switch,3
Fallo en válvula,3
Falla estructural en la bomba,3
Falla en el sistema de agua,3
Alta temperatura en el sistema,3
Parámetro fuera de límites,3
Desajuste en piezas mecánicas,3
Falla en el transmisor de temperatura,3
Información insuficiente sobre el modo de falla,3
Falsa alarma en el sistema,3
Falla en el sistema de bomba,3
Falla en el sistema de sincronismo,3
Datos no disponibles,3
Alto voltaje de entrada,3
Falla de material,3
Falla en operación,3
Vibración anormal,3
Falla en la alimentación eléctrica,3
Falla en el switch de presión,3
Error en el sistema,3
Error de mecanismo,3
Falla en el display,3
Modos de falla no especificados,3
Error de configuración,3
Falla en sistema,3
Ruptura,3
Falla en la bomba neumática,3
Falla de equipo,3
Falla en electrónica,3
Fallo en el sistema de alarma,3
Fallo en el medidor,3
falla en el sistema de señalización,3
Falla en el contactor,3
Falla en el sistema de operación,3
Falla en el sistema de cierre,3
Pérdida de señal,3
Piezas sueltas,3
Falla en el filtro,3
Fuga en la manguera,3
Vibración excesiva,3
Falla en el sistema de visualización,3
Falla en el sistema de hidrante,3
Defecto en el sistema,3
Fuga por daño,3
Fallo en el aislamiento,3
Daño en componentes eléctricos,3
Falla estructural en el sistema,2
Bloqueo mecánico,2
Bloqueo por agente interno,2
Presión excesiva,2
Falla en el manómetro,2
Fuga en el agitador,2
Falla en la estructura,2
Falla en el mecanismo,2
Falla en el mecanismo de alivio,2
Falla en la regulación de voltaje,2
Acumulación de residuos o sedimentos,2
Falta de respuesta bajo demanda,2
Acumulación de sedimentos o agentes internos,2
Condiciones operativas anormales,2
Inestabilidad en la red eléctrica,2
Falla en el radar,2
Falla en el indicador de estado,2
Daño en el resorte,2
Falla en el oring de la válvula,2
Falla en la señal,2
Información insuficiente sobre el problema,2
Falla en el resorte,2
Falta de señal en el sistema,2
Ausencia de energía eléctrica,2
Daño en sistema de A/C,2
Falla en el regulador de voltaje,2
Falla en el sistema de agitación,2
Falla en el motor eléctrico,2
Daño por vibración,2
Falla en el sistema de toma de muestras,2
Falla en el movimiento del tanque,2
Falla en el movimiento del sistema,2
Falla en el inversor del sistema,2
Desajuste en el mecanismo,2
Exposición a condiciones de intemperie,2
Falla en el transformador,2
Fallo en componentes electrónicos,2
Fuga de refrigerante,2
Falla en la manguera,2
Falla en el variador de frecuencia,2
Falla en el sistema de enfriamiento,2
Falla en el sistema mecánico,2
Daño en el medidor,2
Falla en la trampa de despacho,2
Falla en el indicador de temperatura,2
alarma de fuga,2
fuga en sistema,2
falla en señal,2
Daño en la estructura del edificio,2
Oscilación en RPM del motor,2
Falla en el switch de nivel,2
Falla en el probador de medición,2
Vibración,2
Fuga en agitador,2
Falla en las baterías,2
Fallo del componente,2
Falla en el motor del ventilador,2
Fallo en el sistema de succión,2
Falla en el sistema operativo,2
Falla estructural en el puente grúa,2
Fallo en el relé de protección,2
Fuga en tanque,2
Falta de refrigerante o flujo de aire insuficiente,2
Falla en el comando de operación,2
Desajuste en la válvula,2
Fallo en la batería,2
Fallo en el transmisor,2
Daño en válvula,2
Atasco en válvula,2
Bloqueo en el sistema,2
Fuga en el sistema de presión,2
Desajuste,2
Fallo en la estanqueidad del sistema,2
Fallo en el termostato,2
Acumulación de material en la tubería,2
Falla en el sistema de flujo,2
Falla en el sistema de succión,2
Desbalance / vibración en componentes de la bomba,2
Daño en el sistema de espuma,2
Falla en la bomba dosificadora,2
Falla en el regulador de presión,2
Falla en el motor de la bomba,2
Falla en el detector de fuego,2
Falla de sistema,2
Falla de suministro eléctrico,2
Defecto en el sistema de indicación,2
Atascamiento en la válvula,2
Alta temperatura,2
Falla en el mecanismo de movimiento,2
Falla en la tarjeta electrónica,2
Desviación en la medida,2
Falla en el indicador de nivel,2
Falla en el sistema de puesta a tierra,2
Falla en la fuente de energía,2
Desbalance o vibración en el sistema,2
Falla en el detector de humo,2
Falla del transmisor,2
Filtros saturados,2
Fallo general,2
Fallo en la tarjeta principal,2
Fallo en el sistema de extinción,2
Acumulación de sedimentos,2
Falta de datos sobre el sistema,2
Daño en resorte,2
Falla en el sistema de ignición,2
Interferencia en señal,2
Falla en sistema de presión,2
Fuga de agua,2
Fuga de producto,2
Falla en regulador de voltaje,2
Falla en el ensamblaje,2
Falla en sistema de energía,2
Cambio de componentes,2
Agente interno en la tubería,2
Fuga,2
Fuga por daño en componentes,2
Atascamiento mecánico,2
Falla en el sistema de transmisión,2
Exposición a la intemperie,2
Falla en el suministro,2
Motor quemado,2
Fuga de aire,2
Desviación de parámetros,2
Falta de señal,2
Falta de respuesta,2
Fuga de fluido de proceso,2
Falta de datos operativos,2
Fuga en la línea,2
Condición de operación,2
Fallo en la tubería,2
Fuga en componentes,2
Falla en el componente interno,2
Fuga en la trampa,2
Falla en el sistema de tierra,2
Desconfiguración,2
Fuga por válvula de seguridad,2
Inestabilidad en el sistema,2
Falla de válvula,2
Fuga en el vástago del probador,1
Daño en la rosca,1
Falla en el módulo,1
Desajuste en la brida,1
Falla en la guaya de trampa,1
Falla en el indicador del sistema,1
Falla en la pantalla HMI,1
Falla de sincronismo,1
Apertura del lazo 2 de movimientos,1
cambio regulador,1
fuga de gas por ruptura en tubería,1
humedecimiento de crudo,1
compresor averiado,1
presión diferencial elevada,1
fisura o rotura,1
Fallo del capacitor,1
Desbalance en componentes rotativos,1
Falla en batería,1
Falla en componente,1
Falla en el sistema de reposición,1
Desajuste en la unión,1
Falla en la red eléctrica,1
Falla en la bomba diesel,1
Falla por acumulación de residuos,1
Falla en el mecanismo de toma de muestras,1
Desbalance o vibración en el ventilador,1
Daño en la pinza SCULLY,1
Ruptura de aspa,1
Falla en el agente limpio,1
Fallo del indicador,1
Falla en el pistón,1
Atascamiento en el eje,1
Falla en el sistema de aguas,1
Daño en el filtro,1
Falla en el sistema de aspersión,1
Fuga en el generador,1
Fuga en el recipiente,1
Falla en el sistema de baterías,1
Oscilaciones de presión,1
Grieta,1
Desviación de temperatura,1
Fractura de soldadura,1
Falla activa,1
Ausencia de voltaje,1
Compresora aterrizada,1
Desajuste en setting de disparo de válvula,1
Baja frecuencia de generación,1
Grieta o fractura,1
Fisura o rotura,1
Sobre velocidad,1
Falla de alimentación,1
Desajuste unión,1
Daño en el capilar del pit,1
Fallo en el sistema de protección,1
Fallo en el sistema de válvulas,1
Fallo en el flexible,1
Fallo en el tacómetro,1
Fallo en el sistema de muestreo,1
Falta de configuración,1
Daño en o-ring,1
Humedecimiento por brida,1
Daño en el switch,1
Fallo en el temporizador,1
Señal retardada,1
Fuga por la válvula en posición cerrada,1
Fallo en la fuente de alimentación,1
Configuración incorrecta,1
Falla en el panel,1
Falla en el sistema de contraincendios,1
Falla en el sistema de protección,1
Acumulación de sólidos,1
Fallo en el indicador,1
Falla en las válvulas,1
Falla en el extractor,1
Ubicación incorrecta,1
Falla en la luz de emergencia,1
Falla en celdas,1
Modo manual,1
Falla en el comando,1
Condición de alarma,1
Fuga en la tubería,1
Fallo del módulo de ignición,1
Fugas en componentes,1
Ajuste incorrecto,1
Fallo en la secuencia de arranque,1
