label,count
Modos de Falla no especificados,185
Modos de falla no especificados,109
Operación inesperada,62
Información insuficiente,38
Falla de actuador,38
Falla de señal,29
Falla de batería,24
Falta de señal,24
Falla de cierre,23
Falla en el sistema de medición,22
Falla de material,19
Falla de respuesta a la demanda,19
Flujo restringido,16
Falla de instrumentación (indicador defectuoso),15
Falla en el sistema de arranque,15
Falla de señal en el sistema,13
Falla en el actuador,12
Voltaje salida equivocado o inestable,12
Falla de respuesta,12
Señal retardada,11
Falla en el sistema de señalización,11
Voltaje inestable,10
Falla en el sistema de detección,10
Alta corriente en el sistema,10
Falla en el sistema de cierre,10
Falla de cierre en válvula,10
Falla no especificada,10
Ausencia de energia,9
Falla de indicación en el sistema,9
Bajo Nivel,8
Falla de instrumentación (señal falsa),8
Falla en el sensor de nivel,8
Parada fuera de límites,8
Falla en la comunicación del sistema,8
Salida por Oscilación de Frecuencia,7
Falla en el sistema de detección de gas,7
Falla en el sistema de extinción,7
Falla de apertura,7
Salida bajo el mínimo aceptable,7
Falla en el actuador de la válvula,7
Falla en el sistema,7
Falla del sensor de nivel,7
Falla de sensor de nivel,6
Salida por Baja Potencia,6
Piezas sueltas,6
Falla del sensor de señal,6
Falla en el sistema eléctrico,6
Falla en el sistema de cierre de la válvula,5
Falla en el sistema de señalización de emergencia,5
Falla en el sistema de arranque de la bomba,5
Tiempo apertura/cierre desp. de esperado,5
Falla en componentes,5
Voltaje de salida inestable,5
Falla de instrumentación,5
Falsa alarm_indica_defect_nivel_aceite e,5
Falla de instrumentación (señal falsa / contacto defectuoso),5
Falla en el medidor de flujo,5
Falla en el sistema de comunicación,5
Falla en el sistema de bombeo,4
Falla en el sistema (información insuficiente),4
Fallas de medición,4
Falla en el sistema de compresión,4
Falla en el indicador de nivel,4
Falla en el sistema de medición (no especificado),4
Falla en la instrumentación,4
Alto voltaje en el sistema eléctrico,4
Falla de Rotación,4
Falla en el sistema de refrigeración,4
Falla de sistema,4
Parada Fuera de Límites,4
Falla en sistema de extinción,4
Salida inestable,4
Operación inesperada del sistema,4
Falla estructural (modos no especificados),4
Falla en el sistema de instrumentación,4
Falla en el sistema de apertura,4
Salida por oscilación de frecuencia,4
Salida por baja potencia,4
Falla en el sistema de A/A,3
Falla mecánica (no especificada),3
Falla en el mecanismo de cierre,3
Falla en el sistema de cierre del movimiento,3
Falla de instrumentación (información insuficiente),3
Falla en comunicación,3
Falla en el sistema de alarma,3
Falla en el sensor de presión,3
Falla en el switch de flujo,3
Falla en el sensor,3
No Mide al inicio de la Operación,3
Falla en el actuador del sistema,3
Falla en el sistema de conexión,3
Falla de control (no especificada),3
Falla mecánica (modos no especificados),3
Falla en el sistema de nivel,3
Falla en el sistema de muestreo,3
Lectura errónea del instrumento,3
Falla eléctrica,3
Falla en el sistema de arranque del generador,3
Falla de sensor (información insuficiente),3
Falla de medición,3
Falla en el sistema de operación,3
Parada,3
Falla en el sensor de temperatura,3
Falla en la válvula de alivio,3
Falla en el generador por oscilación de frecuencia,3
Fallo en la señal de salida,3
Salida por Baja Velocidad,3
Modo de falla no especificado,3
Falla en el arranque,3
Falla de detección,3
Falla en actuador,3
Falla de sistema (información insuficiente),2
Falla en el sistema de control (modos no especificados),2
Operación inesperada en el sistema,2
Voltaje de salida equivocado o inestable,2
Falla de presión (baja),2
Falla de mecanismo (desajuste),2
Falla en el transmisor de presión,2
Falla de fusible abierto o desconexión en el circuito,2
Falla en el sensor de radar,2
Falla en el probador,2
Voltaje de salida inestable o incorrecto,2
Falla en el sistema de presión,2
Falla eléctrica por alta corriente,2
Falla de señalización,2
Falla eléctrica por oscilación de frecuencia,2
Falla por información insuficiente,2
Falla en el sincronismo,2
Falla en el suministro eléctrico,2
Falla en el sistema de combustible,2
Falla en el sistema de alumbrado,2
Falla en el sistema eléctrico (voltaje inestable),2
Falla de válvula (tiempo de apertura/cierre),2
Falla de sistema de control (información insuficiente),2
Falla de instrumentación (modos no especificados),2
Falla de instrumentación (piezas sueltas),2
Falla en el sistema de filtración,2
Falla en la batería,2
Falla en el motor,2
Falla en el cierre del actuador,2
Fallo de apertura de válvula,2
Falla del transmisor de presión,2
Operación inesperada en la válvula,2
Falla en el detector de gas,2
Falla en el generador (oscilación de frecuencia),2
Falla en el cierre de la válvula,2
Falla del transmisor de nivel,2
Falla de sensor (fin de vida útil),2
Falla en el sistema de ventilación,2
Falla de señal en el sistema de medición,2
Falla eléctrica (voltaje inestable),2
Fallas de operación,2
Falla de instrumentación (modos de falla no especificados),2
Parada fuera de límites del compresor,2
Falla en sistema de detección de gas,2
Falla en el sistema de sellado (piezas sueltas),2
Flujo restringido en el sistema,2
Falla de señal (retardada),2
Falla de presión en el sistema,2
Falla en el sistema de protección,2
Falla en el sensor de medición,2
Falla de control (modos no especificados),2
Falla de energía en el sistema,2
Arranque Fuera de Límites,2
Falla en el ciclo de refrigeración del A/A,2
Falla de energía,2
Falla de Detección,2
Falla de Indicador,2
Fallo de Actuador,2
Ruido anómalo,2
Falla en el sistema de indicación,2
Falla en el sistema de respuesta,2
Falla en el sistema de generación,2
Falla de instrumentación (no especificada),2
Falla de señal por erraticidad,2
Falla en el sistema de espuma contra incendios,2
Falla en el sistema de apertura/cierre del dispositivo,2
Ruido,2
Falla de electrónica,2
Falla de sensor,2
Falla de Componentes,2
Falla de señal en el transmisor,2
Oscilación de frecuencia,2
Falla de corriente (alta corriente),1
Falla en indicador,1
Falla en la operación,1
Falla en el cierre,1
Falla en la operación del sistema (inestabilidad),1
